SIP	DIP	SPORT	DPORT	PROTO	TGH	AVG	MAX	TOTAL	WIRE	#PKTS	FIRST	LAST	INTERARRIVAL	DUR
252.103.120.20	252.103.119.36	55282	49885	6	0	0	1083	11944407	13107243	21534	2018-09-21 14:03:17.067285	2018-09-22 06:00:12.953885	2665	57415886
252.103.120.169	252.103.119.36	2499	50464	6	0	0	234	26707177	55938997	541330	2018-09-21 14:03:17.130794	2018-09-28 15:03:18.061183	1123	608400930
252.103.119.36	252.103.120.169	50464	2499	6	0	0	207	6111147	26263137	373185	2018-09-21 14:03:17.330518	2018-09-28 15:03:12.165578	1629	608394835
252.103.120.48	252.103.119.36	49177	135	6	0	0	156	18234060	30557292	228208	2018-09-21 14:03:17.399331	2018-09-28 15:03:13.917654	2665	608396518
252.103.119.36	252.103.120.48	135	49177	6	0	0	152	17757896	24069686	116885	2018-09-21 14:03:17.399884	2018-09-28 15:03:13.718813	5204	608396318
252.103.120.48	252.103.119.36	56577	49885	6	0	0	1083	11947656	13110708	21538	2018-09-21 14:03:17.400719	2018-09-22 06:00:12.296588	2665	57414895
252.103.119.36	252.103.120.48	49885	56577	6	0	0	1076	11870432	12466214	11033	2018-09-21 14:03:17.401326	2018-09-22 06:00:14.518292	5204	57417116
252.103.120.30	252.103.119.36	53580	135	6	0	0	156	7998744	13404576	100108	2018-09-21 14:03:17.741036	2018-09-24 16:15:35.011046	2668	267137270
252.103.120.30	252.103.119.36	53581	49885	6	0	0	1083	11946573	13109571	21537	2018-09-21 14:03:17.742621	2018-09-22 06:00:13.571301	2665	57415828
252.103.119.36	252.103.120.48	50000	49173	6	0	0	2516	364378153	435877663	1324065	2018-09-21 14:03:18.004958	2018-09-28 15:03:18.053318	459	608400048
252.103.120.30	252.103.119.36	53577	50000	6	0	0	2605	757473	19649373	349850	2018-09-21 14:03:18.009567	2018-09-24 16:15:06.096513	762	267108086
252.103.120.20	252.103.119.36	49187	50000	6	0	0	2484	2077310	48829652	865783	2018-09-21 14:03:18.012445	2018-09-28 15:03:18.046727	702	608400034
252.103.120.48	252.103.119.36	49173	50000	6	0	0	2484	326674	41881996	769543	2018-09-21 14:03:18.012944	2018-09-28 15:03:18.053747	790	608400040
252.103.120.20	252.103.119.36	49185	50000	6	0	0	2433	1937098	46019134	816334	2018-09-21 14:03:18.015354	2018-09-28 15:03:17.041797	744	608399026
252.103.120.8	252.103.119.36	2499	62187	6	0	0	64	2874290	10609196	143239	2018-09-21 14:03:18.483257	2018-09-28 15:03:16.921762	4246	608398438
252.103.120.20	252.103.119.36	49201	135	6	0	0	156	18218148	30530472	228006	2018-09-21 14:03:18.489689	2018-09-28 15:03:13.997028	2667	608395507
252.103.120.20	252.103.119.36	55284	49885	6	0	0	1083	11946573	13109517	21536	2018-09-21 14:03:18.491407	2018-09-22 06:00:13.063029	2665	57414571
252.103.120.14	252.103.119.36	2499	50519	6	0	0	64	8078944	20395642	228087	2018-09-21 14:03:18.971112	2018-09-28 15:03:16.956257	2666	608397985
252.103.120.9	252.103.119.36	2499	56963	6	0	0	108	10371112	25154638	273769	2018-09-21 14:03:19.013389	2018-09-28 15:03:15.191272	2221	608396177
252.103.119.36	252.103.120.14	50519	2499	6	0	0	148	386280	11748528	210412	2018-09-21 14:03:19.173231	2018-09-28 15:03:17.152910	2890	608397979
252.103.119.36	252.103.120.9	56963	2499	6	0	0	148	576784	13403134	237525	2018-09-21 14:03:19.213113	2018-09-28 15:03:15.393122	2560	608396180
252.103.120.15	252.103.119.36	2499	59236	6	0	0	108	9787336	23570890	255251	2018-09-21 14:03:19.329581	2018-09-28 15:03:16.282688	2383	608396953
252.103.117.244	252.103.119.131	49569	2000	6	0	0	56	3303276	38240034	646977	2018-09-21 14:03:19.429300	2018-09-28 15:03:15.851164	939	608396421
252.103.119.131	252.103.117.244	2000	49569	6	0	0	30	3267367	43570213	746349	2018-09-21 14:03:19.440080	2018-09-28 15:03:15.862348	814	608396422
