SIP	DIP	SPORT	DPORT	PROTO	TGH	AVG	MAX	TOTAL	WIRE	#PKTS	FIRST	LAST	INTERARRIVAL	DUR
252.103.119.175	252.103.119.185	53787	139	6	0	0	220	1958	3386	26	2018-09-22 15:09:03.346216	2018-09-22 15:09:13.795787	417	10449
252.103.119.185	252.103.119.175	139	53787	6	0	0	366	2238	3450	22	2018-09-22 15:09:03.346765	2018-09-22 15:09:13.795155	497	10448
252.103.119.185	133.136.250.44	63595	80	6	0	0	254	757	1201	8	2018-09-22 15:10:39.720849	2018-09-22 15:10:47.163261	1062	7442
133.136.250.44	252.103.119.185	80	63595	6	0	0	2214	3257	3485	4	2018-09-22 15:10:39.721158	2018-09-22 15:10:41.317879	531	1596
252.103.120.30	133.136.250.44	54194	80	6	0	0	254	757	1201	8	2018-09-22 15:11:26.832807	2018-09-22 15:11:34.247227	1058	7414
133.136.250.44	252.103.120.30	80	54194	6	0	0	2214	3257	3485	4	2018-09-22 15:11:26.833151	2018-09-22 15:11:28.400330	521	1567
252.103.119.175	133.136.253.241	64157	53	17	0	0	35	35	77	1	2018-09-22 15:13:20.103050	2018-09-22 15:13:20.103050	0	0
133.136.253.241	252.103.119.175	53	64157	17	0	0	115	115	157	1	2018-09-22 15:13:20.121629	2018-09-22 15:13:20.121629	0	0
252.103.120.7	133.136.250.44	64307	80	6	0	0	254	757	1201	8	2018-09-22 15:15:21.387940	2018-09-22 15:15:34.925385	1933	13537
133.136.250.44	252.103.120.7	80	64307	6	0	0	2214	3257	3485	4	2018-09-22 15:15:21.388311	2018-09-22 15:15:24.491228	1033	3102
252.103.119.175	133.136.250.44	53788	80	6	0	0	254	757	1201	8	2018-09-22 15:15:51.145183	2018-09-22 15:15:58.566197	1059	7421
133.136.250.44	252.103.119.175	80	53788	6	0	0	2214	3257	3485	4	2018-09-22 15:15:51.145413	2018-09-22 15:15:52.735171	529	1589
252.103.120.22	133.136.253.241	64520	53	17	0	0	35	35	77	1	2018-09-22 15:17:16.260813	2018-09-22 15:17:16.260813	0	0
133.136.253.241	252.103.120.22	53	64520	17	0	0	115	115	157	1	2018-09-22 15:17:16.261432	2018-09-22 15:17:16.261432	0	0
252.103.120.22	133.136.250.44	55494	80	6	0	0	254	757	1201	8	2018-09-22 15:20:24.584745	2018-09-22 15:20:31.978498	1055	7393
133.136.250.44	252.103.120.22	80	55494	6	0	0	2214	3257	3485	4	2018-09-22 15:20:24.585254	2018-09-22 15:20:26.146637	520	1561
252.103.119.175	252.103.119.185	53789	139	6	0	0	244	1990	3310	24	2018-09-22 15:21:03.365837	2018-09-22 15:21:13.799468	453	10433
252.103.119.185	252.103.119.175	139	53789	6	0	0	255	1880	2984	20	2018-09-22 15:21:03.366374	2018-09-22 15:21:13.798803	548	10432
252.103.119.175	252.103.119.185	53790	139	6	0	0	220	1958	3386	26	2018-09-22 15:21:03.379991	2018-09-22 15:21:13.802206	416	10422
252.103.119.185	252.103.119.175	139	53790	6	0	0	366	2238	3450	22	2018-09-22 15:21:03.380549	2018-09-22 15:21:13.801582	496	10421
252.103.120.20	133.136.250.44	65049	80	6	0	0	254	757	1201	8	2018-09-22 15:24:12.640058	2018-09-22 15:24:20.092506	1064	7452
133.136.250.44	252.103.120.20	80	65049	6	0	0	2214	3257	3485	4	2018-09-22 15:24:12.641657	2018-09-22 15:24:14.216789	524	1575
252.103.119.185	133.136.253.74	63597	889	6	0	0	276	276	612	6	2018-09-22 15:25:41.956041	2018-09-22 15:25:41.997578	8	41
133.136.253.74	252.103.119.185	889	63597	6	0	0	240	244	526	5	2018-09-22 15:25:41.956453	2018-09-22 15:25:41.996677	9	40
252.103.120.30	133.136.253.74	54198	889	6	0	0	276	276	612	6	2018-09-22 15:26:29.151688	2018-09-22 15:26:29.174847	4	23
133.136.253.74	252.103.120.30	889	54198	6	0	0	240	244	526	5	2018-09-22 15:26:29.152181	2018-09-22 15:26:29.173963	5	21
252.103.120.48	133.136.253.241	60877	53	17	0	0	43	43	85	1	2018-09-22 15:27:02.592385	2018-09-22 15:27:02.592385	0	0
133.136.253.241	252.103.120.48	53	60877	17	0	0	260	260	302	1	2018-09-22 15:27:02.592765	2018-09-22 15:27:02.592765	0	0
252.103.120.48	133.136.250.44	58137	80	6	0	0	254	757	1201	8	2018-09-22 15:27:02.598996	2018-09-22 15:27:10.155929	1079	7556
133.136.250.44	252.103.120.48	80	58137	6	0	0	2214	3257	3485	4	2018-09-22 15:27:02.599306	2018-09-22 15:27:04.186850	528	1587
252.103.120.7	133.136.253.74	64313	889	6	0	0	190	190	526	6	2018-09-22 15:30:23.294988	2018-09-22 15:30:23.334926	7	39
133.136.253.74	252.103.120.7	889	64313	6	0	0	240	242	524	5	2018-09-22 15:30:23.295508	2018-09-22 15:30:23.334026	9	38
252.103.119.185	133.136.250.44	63601	80	6	0	0	254	757	1201	8	2018-09-22 15:30:39.745253	2018-09-22 15:30:47.185648	1062	7440
133.136.250.44	252.103.119.185	80	63601	6	0	0	2214	3257	3485	4	2018-09-22 15:30:39.745722	2018-09-22 15:30:41.322253	525	1576
252.103.119.175	133.136.253.74	53792	889	6	0	0	276	276	612	6	2018-09-22 15:30:52.874541	2018-09-22 15:30:52.896480	4	21
133.136.253.74	252.103.119.175	889	53792	6	0	0	240	244	526	5	2018-09-22 15:30:52.875051	2018-09-22 15:30:52.895826	5	20
252.103.120.30	133.136.250.44	54202	80	6	0	0	254	757	1201	8	2018-09-22 15:31:26.835109	2018-09-22 15:31:34.350369	1073	7515
133.136.250.44	252.103.120.30	80	54202	6	0	0	2214	3257	3485	4	2018-09-22 15:31:26.835317	2018-09-22 15:31:28.448111	537	1612
252.103.119.175	252.103.119.185	53796	139	6	0	0	244	1990	3310	24	2018-09-22 15:33:03.403388	2018-09-22 15:33:13.806004	452	10402
252.103.119.185	252.103.119.175	139	53796	6	0	0	255	1880	2984	20	2018-09-22 15:33:03.403928	2018-09-22 15:33:13.805265	547	10401
252.103.119.175	252.103.119.185	53797	139	6	0	0	220	1958	3386	26	2018-09-22 15:33:03.417603	2018-09-22 15:33:13.808830	415	10391
252.103.119.185	252.103.119.175	139	53797	6	0	0	366	2238	3450	22	2018-09-22 15:33:03.418144	2018-09-22 15:33:13.808179	494	10390
252.103.120.7	133.136.250.44	64317	80	6	0	0	254	757	1201	8	2018-09-22 15:35:21.403818	2018-09-22 15:35:34.936710	1932	13532
133.136.250.44	252.103.120.7	80	64317	6	0	0	2214	3257	3485	4	2018-09-22 15:35:21.404039	2018-09-22 15:35:24.502792	1032	3098
252.103.120.22	133.136.253.74	55498	889	6	0	0	190	190	526	6	2018-09-22 15:35:27.118429	2018-09-22 15:35:27.142703	4	24
133.136.253.74	252.103.120.22	889	55498	6	0	0	240	242	524	5	2018-09-22 15:35:27.118884	2018-09-22 15:35:27.141357	5	22
252.103.119.175	133.136.250.44	53798	80	6	0	0	254	757	1201	8	2018-09-22 15:35:51.185539	2018-09-22 15:35:58.618627	1061	7433
133.136.250.44	252.103.119.175	80	53798	6	0	0	2214	3257	3485	4	2018-09-22 15:35:51.185907	2018-09-22 15:35:52.771163	528	1585
252.103.120.20	133.136.253.74	65115	889	6	0	0	276	276	612	6	2018-09-22 15:39:13.564787	2018-09-22 15:39:13.611418	8	46
133.136.253.74	252.103.120.20	889	65115	6	0	0	240	244	526	5	2018-09-22 15:39:13.565199	2018-09-22 15:39:13.609712	10	44
252.103.120.22	133.136.250.44	55502	80	6	0	0	254	757	1201	8	2018-09-22 15:40:24.607483	2018-09-22 15:40:32.006419	1056	7398
133.136.250.44	252.103.120.22	80	55502	6	0	0	2214	3257	3485	4	2018-09-22 15:40:24.607966	2018-09-22 15:40:26.158271	516	1550
252.103.119.185	133.136.253.241	52167	53	17	0	0	35	35	77	1	2018-09-22 15:41:17.541643	2018-09-22 15:41:17.541643	0	0
133.136.253.241	252.103.119.185	53	52167	17	0	0	115	115	157	1	2018-09-22 15:41:17.551262	2018-09-22 15:41:17.551262	0	0
252.103.120.48	133.136.253.74	58158	889	6	0	0	190	190	526	6	2018-09-22 15:42:05.796045	2018-09-22 15:42:05.835515	7	39
133.136.253.74	252.103.120.48	889	58158	6	0	0	240	242	524	5	2018-09-22 15:42:05.796476	2018-09-22 15:42:05.834846	9	38
252.103.120.20	133.136.250.44	65147	80	6	0	0	254	757	1201	8	2018-09-22 15:44:12.723940	2018-09-22 15:44:20.172983	1063	7449
133.136.250.44	252.103.120.20	80	65147	6	0	0	2214	3257	3485	4	2018-09-22 15:44:12.724190	2018-09-22 15:44:14.299654	525	1575
252.103.119.175	252.103.119.185	53801	139	6	0	0	244	1990	3310	24	2018-09-22 15:45:03.441525	2018-09-22 15:45:13.812877	450	10371
252.103.119.185	252.103.119.175	139	53801	6	0	0	255	1880	2984	20	2018-09-22 15:45:03.442057	2018-09-22 15:45:13.812150	545	10370
252.103.119.175	252.103.119.185	53802	139	6	0	0	220	1958	3386	26	2018-09-22 15:45:03.456272	2018-09-22 15:45:13.815700	414	10359
252.103.119.185	252.103.119.175	139	53802	6	0	0	366	2238	3450	22	2018-09-22 15:45:03.456793	2018-09-22 15:45:13.815039	493	10358
252.103.120.48	133.136.250.44	58161	80	6	0	0	254	757	1201	8	2018-09-22 15:47:02.630047	2018-09-22 15:47:10.201581	1081	7571
133.136.250.44	252.103.120.48	80	58161	6	0	0	2214	3257	3485	4	2018-09-22 15:47:02.630623	2018-09-22 15:47:04.232888	533	1602
252.103.120.48	133.136.253.241	49297	53	17	0	0	35	35	77	1	2018-09-22 15:49:02.960702	2018-09-22 15:49:02.960702	0	0
133.136.253.241	252.103.120.48	53	49297	17	0	0	115	115	157	1	2018-09-22 15:49:02.961090	2018-09-22 15:49:02.961090	0	0
252.103.119.185	133.136.250.44	63602	80	6	0	0	254	757	1201	8	2018-09-22 15:50:39.754635	2018-09-22 15:50:47.162045	1057	7407
133.136.250.44	252.103.119.185	80	63602	6	0	0	2214	3257	3485	4	2018-09-22 15:50:39.754904	2018-09-22 15:50:41.326113	523	1571
252.103.120.30	133.136.250.44	54207	80	6	0	0	254	757	1201	8	2018-09-22 15:51:26.829947	2018-09-22 15:51:34.235558	1057	7405
133.136.250.44	252.103.120.30	80	54207	6	0	0	2214	3257	3485	4	2018-09-22 15:51:26.830407	2018-09-22 15:51:28.387713	518	1557
252.103.120.7	133.136.250.44	64336	80	6	0	0	254	757	1201	8	2018-09-22 15:55:21.431050	2018-09-22 15:55:35.026413	1941	13595
133.136.250.44	252.103.120.7	80	64336	6	0	0	2214	3257	3485	4	2018-09-22 15:55:21.431504	2018-09-22 15:55:24.580157	1049	3148
252.103.120.20	133.136.253.241	52892	53	17	0	0	35	35	77	1	2018-09-22 15:55:25.651195	2018-09-22 15:55:25.651195	0	0
133.136.253.241	252.103.120.20	53	52892	17	0	0	115	115	157	1	2018-09-22 15:55:25.651577	2018-09-22 15:55:25.651577	0	0
252.103.119.175	133.136.250.44	53805	80	6	0	0	254	757	1201	8	2018-09-22 15:55:51.184017	2018-09-22 15:55:58.624613	1062	7440
133.136.250.44	252.103.119.175	80	53805	6	0	0	2214	3257	3485	4	2018-09-22 15:55:51.184319	2018-09-22 15:55:52.761405	525	1577
252.103.119.175	252.103.119.185	53806	139	6	0	0	244	1990	3310	24	2018-09-22 15:57:03.479448	2018-09-22 15:57:13.803903	448	10324
252.103.119.185	252.103.119.175	139	53806	6	0	0	255	1880	2984	20	2018-09-22 15:57:03.480011	2018-09-22 15:57:13.803187	543	10323
252.103.119.175	252.103.119.185	53807	139	6	0	0	220	1958	3386	26	2018-09-22 15:57:03.494422	2018-09-22 15:57:13.806634	412	10312
252.103.119.185	252.103.119.175	139	53807	6	0	0	366	2238	3450	22	2018-09-22 15:57:03.494972	2018-09-22 15:57:13.805998	490	10311
252.103.120.30	133.136.253.241	59640	53	17	0	0	35	35	77	1	2018-09-22 15:59:35.034114	2018-09-22 15:59:35.034114	0	0
133.136.253.241	252.103.120.30	53	59640	17	0	0	115	115	157	1	2018-09-22 15:59:35.034536	2018-09-22 15:59:35.034536	0	0
252.103.120.22	133.136.250.44	55507	80	6	0	0	254	757	1201	8	2018-09-22 16:00:24.589156	2018-09-22 16:00:32.126443	1076	7537
133.136.250.44	252.103.120.22	80	55507	6	0	0	2214	3257	3485	4	2018-09-22 16:00:24.589393	2018-09-22 16:00:26.265258	558	1675
252.103.120.22	133.136.253.241	56896	53	17	0	0	33	33	75	1	2018-09-22 16:02:20.375985	2018-09-22 16:02:20.375985	0	0
133.136.253.241	252.103.120.22	53	56896	17	0	0	292	292	334	1	2018-09-22 16:02:20.382398	2018-09-22 16:02:20.382398	0	0
252.103.120.20	133.136.250.44	65241	80	6	0	0	254	757	1201	8	2018-09-22 16:04:12.690900	2018-09-22 16:04:20.116048	1060	7425
133.136.250.44	252.103.120.20	80	65241	6	0	0	2214	3257	3485	4	2018-09-22 16:04:12.691149	2018-09-22 16:04:14.284143	530	1592
252.103.119.175	133.136.253.241	50770	53	17	0	0	42	42	84	1	2018-09-22 16:06:08.697862	2018-09-22 16:06:08.697862	0	0
133.136.253.241	252.103.119.175	53	50770	17	0	0	299	299	341	1	2018-09-22 16:06:08.703788	2018-09-22 16:06:08.703788	0	0
252.103.120.48	133.136.250.44	58164	80	6	0	0	254	757	1201	8	2018-09-22 16:07:02.578754	2018-09-22 16:07:10.184639	1085	7605
133.136.250.44	252.103.120.48	80	58164	6	0	0	2214	3257	3485	4	2018-09-22 16:07:02.579009	2018-09-22 16:07:04.244446	554	1665
252.103.119.175	252.103.119.185	53814	139	6	0	0	244	1990	3310	24	2018-09-22 16:09:03.517172	2018-09-22 16:09:13.810435	447	10293
252.103.119.185	252.103.119.175	139	53814	6	0	0	255	1880	2984	20	2018-09-22 16:09:03.517707	2018-09-22 16:09:13.809781	541	10292
252.103.119.175	252.103.119.185	53815	139	6	0	0	220	1958	3386	26	2018-09-22 16:09:03.531363	2018-09-22 16:09:13.813217	411	10281
252.103.119.185	252.103.119.175	139	53815	6	0	0	366	2238	3450	22	2018-09-22 16:09:03.531902	2018-09-22 16:09:13.812569	489	10280
252.103.120.7	133.136.253.241	55628	53	17	0	0	35	35	77	1	2018-09-22 16:09:40.105399	2018-09-22 16:09:40.105399	0	0
133.136.253.241	252.103.120.7	53	55628	17	0	0	115	115	157	1	2018-09-22 16:09:40.105809	2018-09-22 16:09:40.105809	0	0
252.103.119.175	133.136.253.241	53410	53	17	0	0	35	35	77	1	2018-09-22 16:09:50.143365	2018-09-22 16:09:50.143365	0	0
133.136.253.241	252.103.119.175	53	53410	17	0	0	115	115	157	1	2018-09-22 16:09:50.143769	2018-09-22 16:09:50.143769	0	0
252.103.119.185	133.136.250.44	63603	80	6	0	0	254	757	1201	8	2018-09-22 16:10:39.753817	2018-09-22 16:10:47.325489	1081	7571
133.136.250.44	252.103.119.185	80	63603	6	0	0	2214	3257	3485	4	2018-09-22 16:10:39.754150	2018-09-22 16:10:41.478844	574	1724
252.103.120.30	133.136.250.44	54212	80	6	0	0	254	757	1201	8	2018-09-22 16:11:26.907339	2018-09-22 16:11:34.354579	1063	7447
133.136.250.44	252.103.120.30	80	54212	6	0	0	2214	3257	3485	4	2018-09-22 16:11:26.907785	2018-09-22 16:11:28.505829	532	1598
252.103.120.22	133.136.253.241	61895	53	17	0	0	33	33	75	1	2018-09-22 16:13:08.166017	2018-09-22 16:13:08.166017	0	0
133.136.253.241	252.103.120.22	53	61895	17	0	0	292	292	334	1	2018-09-22 16:13:08.172552	2018-09-22 16:13:08.172552	0	0
252.103.120.22	133.136.253.241	52981	53	17	0	0	35	35	77	1	2018-09-22 16:13:17.269674	2018-09-22 16:13:17.269674	0	0
133.136.253.241	252.103.120.22	53	52981	17	0	0	115	115	157	1	2018-09-22 16:13:17.270076	2018-09-22 16:13:17.270076	0	0
252.103.120.22	133.136.253.241	64846	53	17	0	0	34	34	76	1	2018-09-22 16:13:28.873273	2018-09-22 16:13:28.873273	0	0
133.136.253.241	252.103.120.22	53	64846	17	0	0	146	146	188	1	2018-09-22 16:13:28.873688	2018-09-22 16:13:28.873688	0	0
252.103.120.7	133.136.250.44	64353	80	6	0	0	254	757	1201	8	2018-09-22 16:15:21.444219	2018-09-22 16:15:34.975612	1932	13531
133.136.250.44	252.103.120.7	80	64353	6	0	0	2214	3257	3485	4	2018-09-22 16:15:21.444780	2018-09-22 16:15:24.542531	1032	3097
252.103.119.175	133.136.250.44	53816	80	6	0	0	254	757	1201	8	2018-09-22 16:15:51.225126	2018-09-22 16:15:58.661731	1061	7436
133.136.250.44	252.103.119.175	80	53816	6	0	0	2214	3257	3485	4	2018-09-22 16:15:51.225424	2018-09-22 16:15:52.814012	528	1588
252.103.120.22	133.136.253.241	54475	53	17	0	0	33	33	75	1	2018-09-22 16:19:18.255416	2018-09-22 16:19:18.255416	0	0
133.136.253.241	252.103.120.22	53	54475	17	0	0	292	292	334	1	2018-09-22 16:19:18.255893	2018-09-22 16:19:18.255893	0	0
252.103.120.22	133.136.250.44	55518	80	6	0	0	254	757	1201	8	2018-09-22 16:20:24.663321	2018-09-22 16:20:32.090979	1060	7427
133.136.250.44	252.103.120.22	80	55518	6	0	0	2214	3257	3485	4	2018-09-22 16:20:24.663652	2018-09-22 16:20:26.246831	527	1583
252.103.119.175	252.103.119.185	53817	139	6	0	0	244	1990	3310	24	2018-09-22 16:21:03.555096	2018-09-22 16:21:13.817223	446	10262
252.103.119.185	252.103.119.175	139	53817	6	0	0	255	1880	2984	20	2018-09-22 16:21:03.555669	2018-09-22 16:21:13.816460	539	10260
252.103.119.175	252.103.119.185	53818	139	6	0	0	220	1958	3386	26	2018-09-22 16:21:03.570045	2018-09-22 16:21:13.820128	409	10250
252.103.119.185	252.103.119.175	139	53818	6	0	0	366	2238	3450	22	2018-09-22 16:21:03.570581	2018-09-22 16:21:13.819441	487	10248
252.103.120.20	133.136.250.44	65341	80	6	0	0	254	757	1201	8	2018-09-22 16:24:12.782992	2018-09-22 16:24:20.233330	1063	7450
133.136.250.44	252.103.120.20	80	65341	6	0	0	2214	3257	3485	4	2018-09-22 16:24:12.783391	2018-09-22 16:24:14.374212	529	1590
252.103.119.185	133.136.253.74	63605	889	6	0	0	276	276	612	6	2018-09-22 16:25:42.048893	2018-09-22 16:25:42.089285	7	40
133.136.253.74	252.103.119.185	889	63605	6	0	0	240	244	526	5	2018-09-22 16:25:42.049416	2018-09-22 16:25:42.088247	9	38
252.103.120.30	133.136.253.74	54216	889	6	0	0	190	190	526	6	2018-09-22 16:26:29.257133	2018-09-22 16:26:29.279681	4	22
133.136.253.74	252.103.120.30	889	54216	6	0	0	240	242	524	5	2018-09-22 16:26:29.257536	2018-09-22 16:26:29.278854	5	21
252.103.120.48	133.136.250.44	58183	80	6	0	0	254	757	1201	8	2018-09-22 16:27:02.594971	2018-09-22 16:27:10.167248	1081	7572
133.136.250.44	252.103.120.48	80	58183	6	0	0	2214	3257	3485	4	2018-09-22 16:27:02.596425	2018-09-22 16:27:04.182576	528	1586
252.103.120.7	133.136.253.74	64359	889	6	0	0	276	276	612	6	2018-09-22 16:30:23.397700	2018-09-22 16:30:23.457644	11	59
133.136.253.74	252.103.120.7	889	64359	6	0	0	240	244	526	5	2018-09-22 16:30:23.398078	2018-09-22 16:30:23.456764	14	58
252.103.119.185	133.136.250.44	63609	80	6	0	0	254	757	1201	8	2018-09-22 16:30:39.745245	2018-09-22 16:30:47.144855	1056	7399
133.136.250.44	252.103.119.185	80	63609	6	0	0	2214	3257	3485	4	2018-09-22 16:30:39.745520	2018-09-22 16:30:41.297496	517	1551
252.103.119.175	133.136.253.74	53820	889	6	0	0	190	190	526	6	2018-09-22 16:30:52.968664	2018-09-22 16:30:52.996335	5	27
133.136.253.74	252.103.119.175	889	53820	6	0	0	240	242	524	5	2018-09-22 16:30:52.969154	2018-09-22 16:30:52.995726	6	26
252.103.120.30	133.136.250.44	54220	80	6	0	0	254	757	1201	8	2018-09-22 16:31:26.884394	2018-09-22 16:31:34.426244	1077	7541
133.136.250.44	252.103.120.30	80	54220	6	0	0	2214	3257	3485	4	2018-09-22 16:31:26.884611	2018-09-22 16:31:28.547972	554	1663
252.103.119.175	252.103.119.185	53824	139	6	0	0	244	1990	3310	24	2018-09-22 16:33:03.592687	2018-09-22 16:33:13.823402	444	10230
252.103.119.185	252.103.119.175	139	53824	6	0	0	255	1880	2984	20	2018-09-22 16:33:03.593240	2018-09-22 16:33:13.822644	538	10229
252.103.119.175	252.103.119.185	53825	139	6	0	0	220	1958	3386	26	2018-09-22 16:33:03.607320	2018-09-22 16:33:13.826227	408	10218
252.103.119.185	252.103.119.175	139	53825	6	0	0	366	2238	3450	22	2018-09-22 16:33:03.607876	2018-09-22 16:33:13.825569	486	10217
252.103.120.7	133.136.250.44	64363	80	6	0	0	254	757	1201	8	2018-09-22 16:35:21.442511	2018-09-22 16:35:35.048934	1943	13606
133.136.250.44	252.103.120.7	80	64363	6	0	0	2214	3257	3485	4	2018-09-22 16:35:21.442702	2018-09-22 16:35:24.616398	1057	3173
252.103.120.22	133.136.253.74	55524	889	6	0	0	276	276	612	6	2018-09-22 16:35:27.229968	2018-09-22 16:35:27.255774	4	25
133.136.253.74	252.103.120.22	889	55524	6	0	0	240	244	526	5	2018-09-22 16:35:27.230467	2018-09-22 16:35:27.254815	5	24
252.103.119.175	133.136.250.44	53826	80	6	0	0	254	757	1201	8	2018-09-22 16:35:51.214059	2018-09-22 16:35:58.729481	1073	7515
133.136.250.44	252.103.119.175	80	53826	6	0	0	2214	3257	3485	4	2018-09-22 16:35:51.214498	2018-09-22 16:35:52.876683	553	1662
252.103.120.20	133.136.253.74	65407	889	6	0	0	190	190	526	6	2018-09-22 16:39:13.676143	2018-09-22 16:39:13.722108	8	45
133.136.253.74	252.103.120.20	889	65407	6	0	0	240	242	524	5	2018-09-22 16:39:13.676633	2018-09-22 16:39:13.720666	10	44
252.103.120.22	133.136.250.44	55528	80	6	0	0	254	1514	2402	16	2018-09-22 16:40:24.650621	2018-09-27 02:00:15.879117	25279414	379191228
133.136.250.44	252.103.120.22	80	55528	6	0	0	2214	6514	7024	9	2018-09-22 16:40:24.650924	2018-09-27 02:00:10.019902	47398170	379185368
252.103.120.48	133.136.253.74	58187	889	6	0	0	276	276	612	6	2018-09-22 16:42:05.839000	2018-09-22 16:42:05.881107	8	42
133.136.253.74	252.103.120.48	889	58187	6	0	0	240	244	526	5	2018-09-22 16:42:05.839411	2018-09-22 16:42:05.880422	10	41
252.103.120.20	133.136.250.44	65433	80	6	0	0	254	757	1201	8	2018-09-22 16:44:12.740712	2018-09-22 16:44:20.205779	1065	7465
133.136.250.44	252.103.120.20	80	65433	6	0	0	2214	3257	3485	4	2018-09-22 16:44:12.740946	2018-09-22 16:44:14.346514	534	1605
252.103.119.185	133.136.253.241	55496	53	17	0	0	35	35	77	1	2018-09-22 16:44:48.554025	2018-09-22 16:44:48.554025	0	0
133.136.253.241	252.103.119.185	53	55496	17	0	0	115	115	157	1	2018-09-22 16:44:48.554436	2018-09-22 16:44:48.554436	0	0
252.103.119.175	252.103.119.185	53827	139	6	0	0	244	1990	3310	24	2018-09-22 16:45:03.629680	2018-09-22 16:45:13.813948	442	10184
252.103.119.185	252.103.119.175	139	53827	6	0	0	255	1880	2984	20	2018-09-22 16:45:03.630238	2018-09-22 16:45:13.813197	535	10182
252.103.119.175	252.103.119.185	53828	139	6	0	0	220	1958	3386	26	2018-09-22 16:45:03.644501	2018-09-22 16:45:13.816784	406	10172
252.103.119.185	252.103.119.175	139	53828	6	0	0	366	2238	3450	22	2018-09-22 16:45:03.645058	2018-09-22 16:45:13.816130	484	10171
252.103.120.48	133.136.250.44	58207	80	6	0	0	254	757	1201	8	2018-09-22 16:47:02.540219	2018-09-22 16:47:10.086682	1077	7546
133.136.250.44	252.103.120.48	80	58207	6	0	0	2214	3257	3485	4	2018-09-22 16:47:02.540542	2018-09-22 16:47:04.132528	530	1591
252.103.120.48	133.136.253.241	49225	53	17	0	0	35	35	77	1	2018-09-22 16:49:23.921462	2018-09-22 16:49:23.921462	0	0
133.136.253.241	252.103.120.48	53	49225	17	0	0	115	115	157	1	2018-09-22 16:49:23.921804	2018-09-22 16:49:23.921804	0	0
252.103.119.185	133.136.250.44	63610	80	6	0	0	254	757	1201	8	2018-09-22 16:50:39.776951	2018-09-22 16:50:47.213362	1062	7436
133.136.250.44	252.103.119.185	80	63610	6	0	0	2214	3257	3485	4	2018-09-22 16:50:39.777259	2018-09-22 16:50:41.361645	527	1584
252.103.120.30	133.136.250.44	54225	80	6	0	0	254	757	1201	8	2018-09-22 16:51:26.919197	2018-09-22 16:51:34.403699	1068	7484
133.136.250.44	252.103.120.30	80	54225	6	0	0	2214	3257	3485	4	2018-09-22 16:51:26.919524	2018-09-22 16:51:28.528469	535	1608
252.103.120.7	133.136.250.44	64382	80	6	0	0	254	757	1201	8	2018-09-22 16:55:21.450425	2018-09-22 16:55:35.012412	1937	13561
133.136.250.44	252.103.120.7	80	64382	6	0	0	2214	3257	3485	4	2018-09-22 16:55:21.450841	2018-09-22 16:55:24.565539	1037	3114
252.103.120.7	133.136.253.241	57641	53	17	0	0	35	35	77	1	2018-09-22 16:55:35.217416	2018-09-22 16:55:35.217416	0	0
133.136.253.241	252.103.120.7	53	57641	17	0	0	115	115	157	1	2018-09-22 16:55:35.233663	2018-09-22 16:55:35.233663	0	0
252.103.119.175	133.136.250.44	53829	80	6	0	0	254	757	1201	8	2018-09-22 16:55:51.228006	2018-09-22 16:55:58.656156	1060	7428
133.136.250.44	252.103.119.175	80	53829	6	0	0	2214	3257	3485	4	2018-09-22 16:55:51.228238	2018-09-22 16:55:52.824002	531	1595
252.103.119.175	252.103.119.185	53830	139	6	0	0	244	1990	3310	24	2018-09-22 16:57:03.666708	2018-09-22 16:57:13.819845	441	10153
252.103.119.185	252.103.119.175	139	53830	6	0	0	255	1880	2984	20	2018-09-22 16:57:03.667255	2018-09-22 16:57:13.819111	534	10151
252.103.119.175	252.103.119.185	53831	139	6	0	0	220	1958	3386	26	2018-09-22 16:57:03.681686	2018-09-22 16:57:13.822713	405	10141
252.103.119.185	252.103.119.175	139	53831	6	0	0	366	2238	3450	22	2018-09-22 16:57:03.682239	2018-09-22 16:57:13.822066	482	10139
252.103.120.20	133.136.253.241	65036	53	17	0	0	35	35	77	1	2018-09-22 16:58:14.772887	2018-09-22 16:58:14.772887	0	0
133.136.253.241	252.103.120.20	53	65036	17	0	0	115	115	157	1	2018-09-22 16:58:14.773290	2018-09-22 16:58:14.773290	0	0
252.103.120.30	133.136.253.241	60976	53	17	0	0	35	35	77	1	2018-09-22 17:00:04.108696	2018-09-22 17:00:04.108696	0	0
133.136.253.241	252.103.120.30	53	60976	17	0	0	115	115	157	1	2018-09-22 17:00:04.109066	2018-09-22 17:00:04.109066	0	0
252.103.120.22	133.136.250.44	55535	80	6	0	0	254	757	1201	8	2018-09-22 17:00:24.639047	2018-09-22 17:00:32.143385	1071	7504
133.136.250.44	252.103.120.22	80	55535	6	0	0	2214	3257	3485	4	2018-09-22 17:00:24.639563	2018-09-22 17:00:26.289231	549	1649
252.103.120.20	133.136.250.44	65534	80	6	0	0	254	757	1201	8	2018-09-22 17:04:12.797130	2018-09-22 17:04:20.219159	1059	7422
133.136.250.44	252.103.120.20	80	65534	6	0	0	2214	3257	3485	4	2018-09-22 17:04:12.797388	2018-09-22 17:04:14.374972	525	1577
252.103.119.175	133.136.253.241	61158	53	17	0	0	35	35	77	1	2018-09-22 17:06:00.228674	2018-09-22 17:06:00.228674	0	0
133.136.253.241	252.103.119.175	53	61158	17	0	0	115	115	157	1	2018-09-22 17:06:00.229056	2018-09-22 17:06:00.229056	0	0
